Mushway,"[{'id': '266144401', 'user_id': '81432617', 'user_name': 'Mushway', 'game_id': '33214', 'type': 'live', 'title': 'MUSHWAY | FORTNITE GRIND  [DAY 15/30]  1500 SUBS = LIVE 12h💫 (!ping !utip) CODE MUSHWAY', 'viewer_count': 1431, 'started_at': '2019-12-05T19:45:31Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mushway-{width}x{height}.jpg', 'tag_ids': ['fd8f5e68-42d3-4544-a273-5fc92dabc568', '1eba3cfe-51cc-460a-8259-bc8bb987f904', '6f655045-9989-4ef7-8f85-1edcec42d648']}]"
AntoineDanielLive,"[{'id': '266416801', 'user_id': '135468063', 'user_name': 'AntoineDanielLive', 'game_id': '509658', 'type': 'live', 'title': ""Bonne grève à tous, fête d'espion avec Guzz, le premier à 30 points Sub Tier 3 chez l'autre"", 'viewer_count': 1752, 'started_at': '2019-12-05T20:28:57Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_antoinedaniellive-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}]"
SolaryHS,"[{'id': '260114113', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'type': 'live', 'title': '[FR] NOUVEAU PATCH BATTLEGROUNDS (!patch)', 'viewer_count': 3081, 'started_at': '2019-12-04T14:34:44Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
Shaunz,[]
shoxieJESUSS,[]
Liberto,"[{'id': '266454385', 'user_id': '44960888', 'user_name': 'Liberto', 'game_id': '32982', 'type': 'live', 'title': '[GTARP] CLYDE BECKER AU SEIN DE LA LSPD ! 🌴', 'viewer_count': 2281, 'started_at': '2019-12-05T20:35:29Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_liberto-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
XEWER,"[{'id': '265317281', 'user_id': '88524154', 'user_name': 'XEWER', 'game_id': '33214', 'type': 'live', 'title': 'XEWER SOLO CASH CUP NA   | OUBLIEZ PAS LE CODE XEWER', 'viewer_count': 1511, 'started_at': '2019-12-05T17:38:55Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_xewer-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
WarcraftFR,[]
lequipefr,[]
LeBouseuh,"[{'id': '264225873', 'user_id': '96562014', 'user_name': 'LeBouseuh', 'game_id': '30921', 'type': 'live', 'title': 'ROAD TO PLAT ► Ft. Dobby (10h de jeu)', 'viewer_count': 1231, 'started_at': '2019-12-05T14:05:00Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lebouseuh-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
JeelTV,[]
1PVCS,[]
PrimeTimeFut,[]
MasterSnakou,"[{'id': '265943969', 'user_id': '42141251', 'user_name': 'MasterSnakou', 'game_id': '506414', 'type': 'live', 'title': '[FR] On part avec le Capitaine Esprit - !SC - !FreeFly | !Extension - !Twitter - 287eme live de 2019', 'viewer_count': 1816, 'started_at': '2019-12-05T19:14:53Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mastersnakou-{width}x{height}.jpg', 'tag_ids': ['ba2c968b-867a-49ce-aebc-3d978a204f4a', 'd0976a7e-26a7-4a48-9225-c522808540f2', '6f655045-9989-4ef7-8f85-1edcec42d648']}]"
Corobizar,[]
lyonesportFT,[]
Crocodyle_lol,"[{'id': '265543377', 'user_id': '101234264', 'user_name': 'Crocodyle_lol', 'game_id': '21779', 'type': 'live', 'title': 'JEUDI CROCOACHING - JE MONTRE SHYVANA AP', 'viewer_count': 2032, 'started_at': '2019-12-05T18:14:26Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_crocodyle_lol-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
Mickalow,[]
At0mium,[]
Rainbow6FR,[]
Maghla,[]
TwitchFR,[]
Oliechhs,[]
Bennnzz,[]
Mastu,[]
OgamingSC2,"[{'id': '263625489', 'user_id': '71852806', 'user_name': 'OgamingSC2', 'game_id': '490422', 'type': 'live', 'title': 'WESG KR Day 3: Armani vs TY', 'viewer_count': 204, 'started_at': '2019-12-05T10:45:16Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ogamingsc2-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
nayte,[]
Teeqzy_,[]
RiotGamesFR,[]
aypierre,[]
Kenb0gard,[]
MrRemxTV,"[{'id': '266327873', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'type': 'live', 'title': 'FLASHLAND X ADNAN !reseaux !bestof !code', 'viewer_count': 572, 'started_at': '2019-12-05T20:13:19Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
GoBGG,[]
SkyrrozTV,"[{'id': '36356742736', 'user_id': '52349411', 'user_name': 'SkyrrozTV', 'game_id': '512710', 'type': 'live', 'title': 'NOUVELLE ARME EN OR !!', 'viewer_count': 1276, 'started_at': '2019-12-05T21:11:37Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyrroztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
JLPRINCE_,[]
TheGuill84,[]
AdzTV,"[{'id': '267065969', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'type': 'live', 'title': 'Vitality Adz - NA CASH CUP #Insomniadz', 'viewer_count': 641, 'started_at': '2019-12-05T23:14:27Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
Clique_TV_Stream,[]
JLMeilleurArab,[]
Kaydop,[]
Zydar,"[{'id': '265108097', 'user_id': '85510026', 'user_name': 'Zydar', 'game_id': '512710', 'type': 'live', 'title': '[FR-PS4] MAJ 1.11 SAISON 1 Armes en OR 35/39 !or !24h !ami', 'viewer_count': 1617, 'started_at': '2019-12-05T17:02:48Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zydar-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
JLFakemonster,[]
jvtv,[]
Garryschool,[]
HumilityFR,"[{'id': '266166177', 'user_id': '84240904', 'user_name': 'HumilityFR', 'game_id': '20596', 'type': 'live', 'title': 'DOFUS RETRO : DROP POUR PANOPLIE MINOTOT !', 'viewer_count': 854, 'started_at': '2019-12-05T19:48:53Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_humilityfr-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
Bidule,[]
lyonesportLoL,[]
SonixPROD_TV,[]
NBK,[]
Anil,[]
Chrales,[]
MrBboy45,"[{'id': '265443825', 'user_id': '21080562', 'user_name': 'MrBboy45', 'game_id': '512710', 'type': 'live', 'title': 'On reprend les bases dans le Rainbow Game🎅🏻 Saison 1 MW | Code Créateur: MrBboy45YT !colis KDO = !MW 🎁', 'viewer_count': 1243, 'started_at': '2019-12-05T17:59:26Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrbboy45-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
Tonton,[]
MinosTV_,"[{'id': '265036977', 'user_id': '63985840', 'user_name': 'MinosTV_', 'game_id': '506342', 'type': 'live', 'title': 'Heutman ! | !discord | !social | !code', 'viewer_count': 612, 'started_at': '2019-12-05T16:51:41Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_minostv_-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
idrizlabasefc,[]
ultimatefightingfr,[]
