JulienChieze,[]
LyoneSportTV,[]
michou_twitch,[]
Pauleta_Youtubeur,[]
Alderiate,[]
Mushway,[]
AntoineDanielLive,"[{'id': '329043745', 'user_id': '135468063', 'user_name': 'AntoineDanielLive', 'game_id': '512988', 'type': 'live', 'title': 'On refé le jeu', 'viewer_count': 966, 'started_at': '2019-12-19T19:15:32Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_antoinedaniellive-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
SolaryHS,"[{'id': '326732737', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'type': 'live', 'title': '[FR] Felkeine: Les nerfs sont là !', 'viewer_count': 2741, 'started_at': '2019-12-19T10:07:22Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
Shaunz,[]
shoxieJESUSS,[]
Liberto,[]
XEWER,"[{'id': '328222801', 'user_id': '88524154', 'user_name': 'XEWER', 'game_id': '33214', 'type': 'live', 'title': 'TWITCH RIVALS COMMUNITY CHARITY SHOWDOWN  |  !classement  | #AD | CODE XEWER', 'viewer_count': 1470, 'started_at': '2019-12-19T16:57:13Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_xewer-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
WarcraftFR,[]
lequipefr,[]
LeBouseuh,"[{'id': '328870833', 'user_id': '96562014', 'user_name': 'LeBouseuh', 'game_id': '509658', 'type': 'live', 'title': 'Ça tourne mal → Dimitrioui et Tonton', 'viewer_count': 1367, 'started_at': '2019-12-19T18:49:18Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lebouseuh-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
JeelTV,[]
1PVCS,[]
PrimeTimeFut,[]
MasterSnakou,[]
Corobizar,"[{'id': '327803937', 'user_id': '123020035', 'user_name': 'Corobizar', 'game_id': '21779', 'type': 'live', 'title': 'LA BOUTIQUE COROBAZAR.COM EST OUVERTE (et pas cassée) (stocks limités)', 'viewer_count': 1898, 'started_at': '2019-12-19T15:38:15Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_corobizar-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648', 'b157e8d6-b7ba-49f4-836f-09886c072f1f']}]"
lyonesportFT,[]
Crocodyle_lol,"[{'id': '328627681', 'user_id': '101234264', 'user_name': 'Crocodyle_lol', 'game_id': '21779', 'type': 'live', 'title': 'JEUDI CROCOACHING BORDEL + NOUVEAUX TUTO POUR PASSER DIAMANT A 23H !', 'viewer_count': 1741, 'started_at': '2019-12-19T18:06:49Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_crocodyle_lol-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
Mickalow,"[{'id': '327273473', 'user_id': '30709418', 'user_name': 'Mickalow', 'game_id': '30921', 'type': 'live', 'title': 'MICKALOW / Salutation !', 'viewer_count': 677, 'started_at': '2019-12-19T13:30:49Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mickalow-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
At0mium,[]
Rainbow6FR,[]
